72	1024
72	1923
72	1945
72	1975
72	1999
72	2059
72	8476
72	10763
72	11192
72	11274
72	13040
72	15310
72	20328
72	21214
72	40404
72	57530
72	61005
72	62273
72	94815
72	95375
72	103527
72	142110
72	154584
72	154645
72	167733
72	175451
72	206868
72	216747
72	224411
72	247111
72	247124
72	248951
72	319813
72	651129
154	276
154	1169
154	1835
154	6463
154	7864
154	7879
154	11810
154	11811
154	11824
154	11850
154	11853
154	11857
154	11867
154	11878
154	11900
154	11914
154	11917
154	11932
154	11945
154	19989
154	21066
165	455
165	517
165	875
165	1835
165	5036
165	5065
165	5080
165	5088
165	5101
276	455
276	517
276	2252
276	4194
276	23209
276	23271
276	35333
276	35464
276	35566
276	61316
455	517
455	823
455	840
455	1024
455	1975
455	1999
455	2711
455	5036
455	6053
455	6723
455	7390
455	8170
455	8706
455	11274
455	11914
455	13025
455	19170
455	22737
455	22818
455	27374
455	27414
455	27416
455	27466
455	28110
455	28925
455	29533
455	35464
455	44032
455	73416
455	103421
455	189918
455	202738
455	202739
455	263081
455	645203
455	655500
517	797
517	840
517	1999
517	2521
517	5448
517	6372
517	8618
517	9743
517	11332
517	12076
517	13040
517	15049
517	15059
517	15144
517	15197
517	15231
517	15310
517	15578
517	16055
517	16100
517	19573
517	28755
517	203349
517	655500
675	1148
675	1169
675	1266
675	6460
675	6463
675	11867
675	11932
675	18614
675	20235
675	20374
675	20385
675	21066
675	30930
675	38539
675	47516
675	47517
675	47539
675	47540
675	47547
675	47566
675	125478
676	1161
676	1169
676	1835
676	5101
676	6441
676	6463
676	10844
676	11287
676	11850
676	11867
676	11932
676	13518
676	15144
676	16173
676	18614
676	19989
676	20059
676	20143
676	20203
676	20235
676	20374
676	20458
676	20632
676	20676
676	20718
676	20790
676	20882
676	21066
676	21109
676	21160
676	21162
676	21276
676	22789
676	30367
676	30378
676	38444
676	38460
676	38462
676	38475
676	38480
676	38482
676	38498
676	38511
676	38512
676	38529
676	38532
676	38539
676	38550
676	38558
676	38559
676	251586
797	840
797	1999
797	2252
797	7390
823	3622
823	5036
823	5065
823	5873
823	8170
823	8459
823	8706
823	8752
823	9553
823	11274
823	12577
823	15231
823	19170
823	22167
823	22714
823	22818
823	24403
823	26920
823	27977
823	28001
823	28110
823	28190
823	28197
823	47630
823	47633
823	47707
840	5754
840	7390
840	21503
840	51869
840	651129
875	1024
875	2429
875	5065
875	5703
875	5873
875	8752
875	9743
875	10315
875	14027
875	20867
875	43824
875	48404
875	48423
875	48431
959	16100
959	51828
959	51844
1024	1999
1024	8170
1024	8459
1024	9553
1024	10315
1024	28080
1024	28084
1024	63156
1024	645203
1142	1148
1142	6441
1142	6460
1142	7828
1142	15144
1142	15559
1142	16173
1142	20331
1142	20369
1142	21123
1142	21186
1142	29580
1142	33626
1142	59765
1142	63301
1142	63313
1148	1169
1148	2224
1148	2233
1148	6427
1148	7828
1148	7879
1148	7887
1148	7888
1148	11850
1148	11867
1148	13025
1148	14027
1148	15144
1148	18614
1148	20059
1148	20436
1148	20563
1148	20619
1148	29580
1148	40311
1148	70124
1148	70126
1148	70134
1148	70144
1148	70146
1148	70149
1148	70152
1148	70155
1148	106714
1161	1169
1161	1266
1161	1923
1161	2173
1161	2711
1161	5928
1161	6268
1161	6441
1161	6460
1161	7905
1161	10844
1161	11853
1161	11914
1161	13025
1161	13847
1161	15144
1161	16173
1161	18106
1161	18620
1161	20116
1161	20235
1161	20271
1161	20331
1161	20346
1161	20385
1161	20676
1161	20744
1161	20790
1161	20854
1161	20866
1161	20882
1161	20983
1161	20989
1161	21063
1161	21066
1161	21069
1161	21089
1161	21126
1161	21203
1161	21244
1161	21276
1161	25099
1161	30119
1161	32127
1161	33596
1161	38380
1161	38511
1161	38532
1161	38559
1161	46683
1161	47539
1161	63313
1161	63597
1161	73198
1161	73202
1161	73207
1161	73213
1161	73229
1161	73231
1161	73235
1161	73248
1161	73251
1161	73257
1161	73265
1161	73285
1161	73287
1161	73295
1161	73296
1161	73297
1161	73310
1161	73315
1161	73316
1161	73320
1161	73353
1161	73356
1161	73371
1161	73374
1161	73377
1161	73378
1161	73380
1161	73392
1161	73396
1161	73399
1161	73406
1161	73408
1161	94814
1169	1266
1169	1835
1169	1975
1169	2206
1169	2609
1169	2711
1169	3156
1169	5928
1169	6424
1169	6441
1169	6460
1169	6463
1169	7828
1169	7879
1169	7888
1169	10844
1169	11853
1169	13025
1169	13847
1169	15144
1169	15353
1169	15578
1169	18106
1169	18173
1169	18267
1169	18563
1169	20030
1169	20235
1169	20281
1169	20290
1169	20328
1169	20331
1169	20374
1169	20572
1169	20632
1169	20675
1169	20775
1169	20866
1169	20882
1169	20983
1169	20989
1169	20999
1169	21006
1169	21066
1169	21126
1169	21175
1169	21214
1169	21276
1169	21304
1169	22789
1169	25099
1169	30056
1169	30098
1169	30342
1169	30346
1169	30908
1169	30930
1169	33626
1169	37180
1169	37185
1169	37195
1169	37610
1169	38380
1169	38462
1169	38511
1169	38512
1169	62223
1169	63313
1169	63454
1169	63881
1169	63909
1169	63921
1169	63935
1169	63951
1169	63969
1169	63984
1169	63995
1169	64018
1169	64037
1169	64039
1169	64055
1169	64058
1169	64070
1169	64076
1169	64090
1169	64092
1169	64100
1169	108564
1173	2711
1203	20310
1203	71076
1203	71175
1214	30098
1214	67661
1235	20790
1235	21066
1235	46683
1235	75034
1266	3156
1266	5101
1266	5928
1266	6268
1266	6372
1266	6427
1266	6463
1266	7888
1266	9240
1266	10844
1266	11850
1266	11867
1266	11932
1266	13847
1266	14606
1266	16173
1266	18106
1266	19989
1266	20143
1266	20235
1266	20271
1266	20300
1266	20331
1266	20385
1266	20587
1266	20604
1266	20643
1266	20676
1266	20718
1266	20722
1266	20790
1266	20899
1266	20983
1266	20999
1266	21006
1266	21009
1266	21010
1266	21066
1266	21126
1266	21160
1266	21175
1266	21181
1266	30056
1266	30908
1266	37610
1266	38329
1266	38529
1266	38550
1266	46683
1266	61316
1266	63313
1266	63650
1266	64076
1266	64090
1266	70152
1266	73356
1266	74622
1266	74633
1266	74653
1266	74658
1266	74675
1266	74690
1266	74700
1266	74708
1266	74715
1266	92962
1266	108564
1540	8618
1540	23503
1540	62371
1540	88596
1540	88650
1732	19573
1732	19684
1732	47474
1732	91205
1732	92872
1732	92874
1732	92884
1732	92886
1732	92887
1732	92895
1732	234123
1732	398680
1742	6723
1835	1945
1835	1975
1835	2224
1835	5101
1835	5928
1835	6268
1835	6424
1835	6427
1835	6441
1835	6463
1835	7905
1835	10590
1835	11332
1835	11850
1835	11867
1835	11878
1835	11932
1835	14027
1835	15144
1835	15578
